timestamp,ax,ay,az,qs,qx,qy,qz,amag
1636030844659908.000000,-0.020557,-0.012749,1.027057,-0.007625,0.030261,0.418745,0.907568,0.031745
1636030844669549.000000,0.002318,-0.011651,1.018822,-0.007625,0.030261,0.418745,0.907568,0.012103
1636030844679226.000000,0.018422,-0.010736,1.020896,-0.007625,0.030261,0.418745,0.907568,0.028178
1636030844688874.000000,0.025986,-0.010980,1.018151,-0.007625,0.030261,0.418745,0.907568,0.038355
1636030844698512.000000,0.032635,-0.009699,1.016443,-0.007625,0.030261,0.418745,0.907568,0.047161
1636030844708144.000000,0.041541,-0.008845,1.013576,-0.007625,0.030261,0.418745,0.907568,0.059410
1636030844717805.000000,0.051850,-0.009455,1.010160,-0.007625,0.030261,0.418745,0.907568,0.073934
1636030844727436.000000,0.058865,-0.009028,1.008757,-0.007625,0.030261,0.418745,0.907568,0.083736
1636030844737095.000000,0.054900,-0.007869,1.013210,-0.007625,0.030261,0.418745,0.907568,0.078038
1636030844746733.000000,0.040870,-0.007503,1.021018,-0.007625,0.030261,0.418745,0.907568,0.058284
1636030844756368.000000,0.027694,-0.008418,1.025471,-0.007625,0.030261,0.418745,0.907568,0.040060
1636030844766034.000000,0.013725,-0.010248,1.030778,-0.007625,0.030261,0.418745,0.907568,0.021949
1636030844775668.000000,-0.003599,-0.011163,1.037305,-0.007625,0.030261,0.418745,0.907568,0.012269
1636030844785295.000000,-0.016592,-0.011529,1.039989,-0.007625,0.030261,0.418745,0.907568,0.026144
1636030844794874.000000,-0.025315,-0.012200,1.040355,-0.007625,0.030261,0.418745,0.907568,0.037822
1636030844804477.000000,-0.031659,-0.012627,1.041087,-0.007625,0.030261,0.418745,0.907568,0.046519
1636030844814214.000000,-0.035868,-0.012627,1.043100,-0.007625,0.030261,0.418745,0.907568,0.052273
1636030844823822.000000,-0.031354,-0.012322,1.041758,-0.007625,0.030261,0.418745,0.907568,0.046021
1636030844833403.000000,-0.020496,-0.011163,1.039013,-0.007625,0.030261,0.418745,0.907568,0.031061
1636030844842996.000000,-0.009699,-0.010248,1.036390,-0.007625,0.030261,0.418745,0.907568,0.017122
1636030844852723.000000,0.001586,-0.009638,1.031937,-0.007625,0.030261,0.418745,0.907568,0.009896
