Timestamp,ax,ay,ax,gx,gy,gz,mx,my,mz,fx,fy,fz,qposescal,qposex,qposey,qposez
1638891291018261,0.04501799866557121,-0.10077200084924698,1.0136979818344116,0.0028344709426164627,0.0023776362650096416,-0.0034238933585584164,10.949999809265137,-20.644399642944336,17.81199836730957,-0.10258053988218307,-0.023450346663594246,-0.31142082810401917,0.9864414930343628,-0.05245997756719589,-0.0036176592111587524,-0.15546122193336487
1638891291038680,0.04605500027537346,-0.10028399527072906,1.0135149955749512,-0.0005251462571322918,0.010621455498039722,-0.0023542451672255993,10.949999809265137,-20.644399642944336,17.81199836730957,-0.10269953310489655,-0.02350558340549469,-0.3116752505302429,0.9864180088043213,-0.05252338573336601,-0.003628976410254836,-0.15558823943138123
1638891291058956,0.0449570007622242,-0.10284599661827087,1.0129660367965698,-0.0022044319193810225,0.01657292991876602,-0.0014375601895153522,10.949999809265137,-20.644399642944336,17.81199836730957,-0.10281858593225479,-0.023182997480034828,-0.31179726123809814,0.986408531665802,-0.052557408809661865,-0.0034573774319142103,-0.15564073622226715
1638891291079228,0.044224999845027924,-0.10583499819040298,1.0118680000305176,-0.0005244109779596329,0.01351496297866106,-0.0018951985985040665,9.781999588012695,-21.082399368286133,17.768199920654297,-0.10301891714334488,-0.02290666662156582,-0.3119979202747345,0.9863902926445007,-0.052635207772254944,-0.003300193464383483,-0.15573327243328094
1638891291099672,0.0453839972615242,-0.10534700006246567,1.0091840028762817,0.0008498071692883968,-0.001603519544005394,-0.0028107399120926857,9.781999588012695,-21.082399368286133,17.768199920654297,-0.10317867249250412,-0.022982096299529076,-0.3121866285800934,0.9863706231117249,-0.05272014066576958,-0.0033199868630617857,-0.15582847595214844
1638891291119789,0.04770199954509735,-0.10247999429702759,1.0073540210723877,0.004055757541209459,-0.0014504124410450459,-0.0032680085860192776,9.781999588012695,-21.082399368286133,17.768199920654297,-0.10316573083400726,-0.0231394674628973,-0.31230923533439636,0.9863599538803101,-0.052726130932569504,-0.003395391395315528,-0.1558927744626999
1638891291139781,0.04812899976968765,-0.10290699452161789,1.0100380182266235,0.0017645377665758133,0.023130685091018677,-0.001282351091504097,9.781999588012695,-21.082399368286133,17.768199920654297,-0.10320272296667099,-0.02282889187335968,-0.3124459683895111,0.9863513112068176,-0.0527205727994442,-0.0032357042655348778,-0.15595264732837677
1638891291159795,0.04446899890899658,-0.10369999706745148,1.0149179697036743,0.001000687014311552,0.0390026792883873,-0.0014346810057759285,9.781999588012695,-21.082399368286133,17.768199920654297,-0.10326285660266876,-0.022087637335062027,-0.3125799000263214,0.9863463640213013,-0.052693046629428864,-0.0028618518263101578,-0.1560005396604538
1638891291179787,0.04068699851632118,-0.10199199616909027,1.0169919729232788,-6.83092512190342e-05,0.01715962588787079,-0.0021976707503199577,10.570399284362793,-21.140798568725586,17.505399703979492,-0.103270024061203,-0.02165529504418373,-0.3122052550315857,0.9863794445991516,-0.05266260355710983,-0.0026578994002193213,-0.15580512583255768
1638891291199912,0.042089998722076416,-0.10119900107383728,1.013942003250122,0.0016111363656818867,-0.012769333086907864,-0.0037238309159874916,10.570399284362793,-21.140798568725586,17.505399703979492,-0.1032266914844513,-0.02186974138021469,-0.3118114173412323,0.9864092469215393,-0.052657272666692734,-0.0027774255722761154,-0.15561611950397491
